ID,acceptedTaxonName,taxonRank,taxonomicStatus,vernacularName,taxonomicLevel,lifeStage,metabolicType,movementType,lowestMass,highestMass,meanMass,shortestLength,longestLength,meanLength,sizeMethod,sizeReference
13,Aphtona lutescens,species,synonym,na,species,na,invertebrate,walking,-999,-999,4.90858e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
14,Hypostenus,genus,synonym,na,genus,na,invertebrate,walking,-999,-999,4.90858e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
15,Pisaura mirabilis,species,accepted,na,species,immature,invertebrate,walking,-999,-999,5.28551e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
16,Cloeon simile,species,accepted,na,species,na,invertebrate,flying,-999,-999,5.89844e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
17,Tetramesa,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,5.95338e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
18,Salticidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,5.97642e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
19,Delphacidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,6.52355e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
20,Meligethes,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,6.52842e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
21,Jassidae,family,synonym,na,family,larvae,invertebrate,walking,-999,-999,7.32983e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
22,brachycera,NA,NA,na,NA,larvae,invertebrate,walking,-999,-999,7.44173e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
23,Chironomidae,family,accepted,na,family,larvae,invertebrate,swimming,-999,-999,7.44173e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
24,Rhagionidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,7.44173e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
25,Limoniidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,7.84039e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
26,Chrysopidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,7.97328e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
27,Tetrastichus,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,8.45167e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
28,Haemopis sanguisuga,species,accepted,na,species,na,invertebrate,swimming,-999,-999,0.211800236,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
29,Platystethus nodifrons,species,accepted,na,species,na,invertebrate,walking,-999,-999,8.49185e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
30,Carabidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,9.80218e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
31,Anacaena limbata,species,accepted,na,species,na,invertebrate,walking,-999,-999,9.81717e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
32,Gabrius,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,9.81717e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
33,Xysticus,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,9.84555e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
34,Trichoniscidae,family,accepted,na,family,na,invertebrate,walking,-999,-999,0.001002735,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
35,Marpissa radiata,species,accepted,na,species,immature,invertebrate,walking,-999,-999,0.00107092,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
36,Heteroptera,genus,synonym,na,genus,larvae,invertebrate,walking,-999,-999,0.001226525,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
37,Chaetocnema confusa,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.001227146,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
38,Lesteva sicula,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.001227146,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
39,Tetramorium,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.00132888,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
40,Limacidae,family,accepted,na,family,na,invertebrate,walking,-999,-999,0.345443419,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
41,Pelochares versicolor,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.001492209,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
42,Diplocampa assimilis,species,synonym,na,species,na,invertebrate,walking,-999,-999,0.001595289,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
43,Tetragnatha,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.001620198,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
44,Heteroptera,genus,synonym,na,genus,na,invertebrate,walking,-999,-999,0.001825128,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
45,Trichoptera,order,accepted,sedge-flies,order,larvae,na,na,-999,-999,0.002064455,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
46,Tetartopeus terminatus,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.002208862,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
47,Pentatomidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,0.002252702,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
48,Argiope bruennichi,species,accepted,na,species,immature,invertebrate,walking,-999,-999,0.002266204,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
49,Zelotes,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.002418206,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
50,Ilione lineata,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.002657759,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
51,Sitticus,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.002763664,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
52,Trypoxylon attenuatum,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.002923535,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
53,Ceratopogonidae,family,accepted,na,family,larvae,invertebrate,swimming,-999,-999,0.003322199,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
54,Clubiona,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.003451125,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
55,Pteronemobius heydenii,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.003529897,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
56,Propylaea quatuordecimpunctata,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.003583266,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
57,Staphylinidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,0.003694438,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
58,Ligidium hypnorum,species,accepted,na,species,larvae,invertebrate,walking,-999,-999,0.003745511,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
59,Chartoscirta cincta,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.003909244,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
60,Pirata,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.003972767,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
61,Dryops auriculatus,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.004000495,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
62,Limnia paludicola,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.004066371,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
63,Pachybrachius,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.004153571,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
64,Paederus riparius,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.004589525,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
65,Zora spinimana,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.00518187,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
66,Limoniidae,family,accepted,na,family,larvae,invertebrate,na,-999,-999,0.005315518,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
67,Pachygnatha,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.005527328,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
68,Hybotidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,8.85e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
69,chrysomelidae,NA,NA,leaf beetle,NA,na,invertebrate,walking,-999,-999,0.00564487,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
70,Tetragnatha,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.005665511,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
71,Larinioides,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.006149152,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
72,Dolomedes,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.006460064,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
73,Ichneumonidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,0.006644397,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
74,Tibellus,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.007220072,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
75,Pirata latitans,species,synonym,na,species,na,invertebrate,walking,-999,-999,0.007289163,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
76,Pirata tenuitarsis,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.007289163,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
77,Trochosa,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.007289163,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
78,Salticidae,family,accepted,na,family,na,invertebrate,walking,-999,-999,0.007980079,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
79,Lycosidae,family,accepted,na,family,na,invertebrate,walking,-999,-999,0.008049171,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
80,Ceratopogonidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,1.41659e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
81,Tetanocera ferruginea,species,synonym,na,species,na,invertebrate,flying,-999,-999,0.00903638,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
82,Cicadella viridis,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.009528781,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
83,Araneae,order,accepted,na,order,na,invertebrate,walking,-999,-999,0.010881926,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
84,opilionida,NA,NA,na,NA,na,invertebrate,walking,-999,-999,0.010951018,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
85,Limnobaris dolorosa,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.011289741,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
86,Arctosa,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,0.011331022,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
87,aphidoidea,NA,NA,na,NA,na,invertebrate,walking,-999,-999,1.95462e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
88,Ilione albiseta,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.012491467,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
89,Pardosa prativaga,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.012609216,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
90,Pardosa,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.012851037,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
91,Pterostichus,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.013253174,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
92,Zygoptera,genus,doubtful,na,genus,na,invertebrate,flying,-999,-999,0.013566418,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
93,Sciaridae,family,accepted,na,family,na,invertebrate,flying,-999,-999,2.34149e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
94,Stratiomyidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,0.015946554,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
95,Tibellus maritimus,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.01602925,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
96,Coenagrion pulchellum,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.016220717,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
97,Chrysotus cilipes,species,accepted,na,species,na,invertebrate,flying,-999,-999,2.65776e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
98,Psychodidae,family,accepted,na,family,adults,invertebrate,flying,-999,-999,2.65776e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
99,Teuchophorus calcaratus,species,accepted,na,species,na,invertebrate,flying,-999,-999,2.65776e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
100,Pherbina coryleti,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.017009657,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
101,Coleoptera,order,accepted,na,order,na,invertebrate,walking,-999,-999,0.021008735,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
102,Neoscona adianta,species,accepted,na,species,immature,invertebrate,walking,-999,-999,0.021763853,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
103,Armadillidium vulgare,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.021824237,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
104,Anisoptera,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,0.240656453,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
105,Sympetrum,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,0.244785363,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
106,Oedemera nobilis,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.023806627,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
107,Coenagrion,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,0.024773458,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
108,Somatochlora flavomaculata,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.315566673,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
109,Somatochlora,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,0.315566673,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
110,Neoscona adianta,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.03271487,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
111,Drosophilidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,5.31552e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
112,Marpissa radiata,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.033993065,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
113,Tetragnatha extensa,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.036618546,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
114,Agonum viduum,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.037059801,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
115,Euconulus alderi,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.039465254,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
116,pipinculus sp,NA,NA,na,NA,na,invertebrate,na,-999,-999,6.37862e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
117,Apis mellifera,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.049965868,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
118,Argyra vestita,species,accepted,na,species,na,invertebrate,flying,-999,-999,7.97328e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
119,Ephydridae,family,accepted,na,family,na,invertebrate,flying,-999,-999,7.97328e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
120,Pirata piscatorius,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.05630965,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
121,Trachelipus rathkii,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.060164113,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
122,Capreolus capreolus,species,accepted,na,species,na,endotherm vertebrate,walking,-999,-999,20000,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
123,Calliphoridae,family,accepted,na,family,na,invertebrate,flying,-999,-999,0.069367508,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
124,Pisaura mirabilis,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.069782511,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
125,Psychodidae,family,accepted,na,family,larvae,invertebrate,swimming,-999,-999,2.65776e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
126,Psychodidae,family,accepted,na,family,larvae,invertebrate,swimming,-999,-999,7.44173e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
127,Muscidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,0.001118917,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
128,fulgoroidea,NA,NA,na,NA,larvae,invertebrate,walking,-999,-999,3.00523e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
129,Chloropidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,0.001310275,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
130,Helicidae,family,accepted,na,family,na,invertebrate,walking,-999,-999,0.083148428,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
131,Herina parva,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.00132888,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
132,Cicadina,genus,synonym,na,genus,larvae,invertebrate,walking,-999,-999,3.32286e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
133,Herina frondescentiae,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.001568078,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
134,Hercostomus assimilis,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.001594655,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
135,Microtus agrestis,species,accepted,na,species,na,endotherm vertebrate,walking,-999,-999,35,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
136,Entomobryomorpha,order,accepted,na,order,na,invertebrate,walking,-999,-999,2.95e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
137,Poduromorpha,order,accepted,na,order,na,invertebrate,walking,-999,-999,2.95e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
138,sminthuridae,NA,NA,na,NA,na,invertebrate,walking,-999,-999,2.95e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
139,Larinioides cornutus,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.163056165,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
140,acari phyto,NA,NA,na,NA,na,invertebrate,walking,-999,-999,3.45e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
141,acari pred,NA,NA,na,NA,na,invertebrate,walking,-999,-999,3.45e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
142,Psychodidae,family,accepted,na,family,adults,invertebrate,flying,-999,-999,7.44173e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
143,Dolichopus nubilus,species,accepted,na,species,na,invertebrate,flying,-999,-999,0.003720863,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
144,Oxyloma elegans,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.261038384,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
145,Trichia sericea,species,synonym,na,species,na,invertebrate,walking,-999,-999,0.271818361,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
146,Succinea putris,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.279021725,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
147,proctotrupoidea,NA,NA,na,NA,na,invertebrate,flying,-999,-999,7.97e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
148,Tetragnathidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,3.41e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
149,Edaphus,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,6.72e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
150,Erichsonius cinerascens,species,accepted,na,species,na,invertebrate,walking,-999,-999,2.45429e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
151,Brachygluta,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,2.14014e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
152,Lathrobium fovulum,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.001472575,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
153,Anotylus,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,1.05535e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
154,Bryaxis,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,1.05535e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
155,Emberiza schoeniclus,species,accepted,na,species,na,endotherm vertebrate,flying,-999,-999,20,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
156,Theridiidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,6.29e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
157,Thomisidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,3.59276e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
158,Chrysotoxum,genus,accepted,na,genus,na,invertebrate,flying,-999,-999,0.031361555,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
159,Gongylidiellum murcidum,species,accepted,na,species,na,invertebrate,walking,-999,-999,3.83458e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
160,Linyphiidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,6.1837e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
161,Lepthyphantes tenuis,species,synonym,na,species,na,invertebrate,walking,-999,-999,7.7728e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
162,Antistea elegans,species,accepted,na,species,immature,invertebrate,walking,-999,-999,7.22007e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
163,Bathyphantes gracilis,species,accepted,na,species,na,invertebrate,walking,-999,-999,7.7728e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
164,Silometopus elegans,species,accepted,na,species,na,invertebrate,walking,-999,-999,7.7728e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
165,Gnathonarium dentatum,species,accepted,na,species,na,invertebrate,walking,-999,-999,9.77646e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
166,Walckenaeria nudipalpis,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.001036374,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
167,Antistea elegans,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.00131965,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
168,Natrix natrix,species,accepted,na,species,na,ectotherm vertebrate,walking,-999,-999,100,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
169,Hebrus pusillus,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.003811513,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
170,Theridion,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,8.84372e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
171,Valvata,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.032903268,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
172,Vertigo antivertigo,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.067147118,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
173,Vertigo pygmaea,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.0529128,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
174,Vertigo moulinsiana,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.065315869,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
175,Vulpes vulpes,species,accepted,na,species,na,endotherm vertebrate,walking,-999,-999,5000,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
176,Araneidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,3.45e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
177,Tetrix,genus,accepted,na,genus,na,invertebrate,walking,-999,-999,0.015423422000000001,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
178,Lithobius piceus,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.02772268,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
179,Mangora acalypha,species,accepted,na,species,immature,invertebrate,walking,-999,-999,1.72729e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
180,Chironomidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,2.2777e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
181,aleocharinae,NA,NA,na,NA,na,invertebrate,walking,-999,-999,2.45429e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
182,Anacaena limbata,species,accepted,na,species,na,invertebrate,walking,-999,-999,2.45429e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
183,Hypocyptus discoideus,species,synonym,na,species,na,invertebrate,walking,-999,-999,2.45429e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
184,Thanatus,genus,accepted,na,genus,immature,invertebrate,walking,-999,-999,2.7153e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
185,Trichoptera,order,accepted,sedge-flies,order,larvae,na,na,-999,-999,2.94922e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
